ID,statement,conditions,law,classification
A148,"ARTICLE 7: CONSTRUCTIONAL RULES
7.01 Issue. ""Issue"" means all persons who are descended from the person referred to for purposes of intestate succession as determined under the laws of Idaho as those which exist on the date of my death. However, for the purposes of the foregoing, an adopted person shall be considered as descended from the person referred to only if he had been adopted while under the age of 18.",The testator clearly indicated that he/she would not regard an adopted person who had been adopted after the age of 18 as an issue. The testator was of sound mind when executing the will containing this statement.,15-2-603.  RULES OF CONSTRUCTION AND INTENTION. The intention of a testator as expressed in his will controls the legal effect of his dispositions. The rules of construction expressed in the succeeding sections of this Part apply unless a contrary intention is indicated by the will.,1
A148,"ARTICLE 7: CONSTRUCTIONAL RULES
7.01 Issue. ""Issue"" means all persons who are descended from the person referred to for purposes of intestate succession as determined under the laws of Idaho as those which exist on the date of my death. However, for the purposes of the foregoing, an adopted person shall be considered as descended from the person referred to only if he had been adopted while under the age of 18.",The testator was not of sound mind when executing the will containing this statement.,"15-2-501.  WHO MAY MAKE A WILL. Any emancipated minor or any person eighteen (18) or more years of age who is of sound mind may make a will. A married woman may dispose of her property, whether separate or community, in the same manner as any other person subject to the restrictions imposed by this code.",0
A148,"ARTICLE 7: CONSTRUCTIONAL RULES
7.01 Issue. ""Issue"" means all persons who are descended from the person referred to for purposes of intestate succession as determined under the laws of Idaho as those which exist on the date of my death. However, for the purposes of the foregoing, an adopted person shall be considered as descended from the person referred to only if he had been adopted while under the age of 18.",The testator clearly indicated that he/she would not regard an adopted person who had been adopted after the age of 18 as an issue. The testator was of sound mind when executing the will containing this statement.,"15-3-505.  SUPERVISED ADMINISTRATION — INTERIM ORDERS — DISTRIBUTION AND CLOSING ORDERS. Unless otherwise ordered by the court, supervised administration is terminated by order in accordance with time restrictions, notices and contents of orders prescribed for proceedings under section 15-3-1001 of this code. Interim orders approving or directing partial distributions or granting other relief may be issued by the court at any time during the pendency of a supervised administration on the application of the personal representative or any interested person.",2
A148,"ARTICLE 7: CONSTRUCTIONAL RULES
7.01 Issue. ""Issue"" means all persons who are descended from the person referred to for purposes of intestate succession as determined under the laws of Idaho as those which exist on the date of my death. However, for the purposes of the foregoing, an adopted person shall be considered as descended from the person referred to only if he had been adopted while under the age of 18.",The testator was not of sound mind when executing the will containing this statement.,"18-2419.  RECORDKEEPING REQUIREMENTS — VIOLATIONS. (1) A vendor of unused merchandise shall maintain receipts for the vendor’s purchase of any unused merchandise sold or offered for sale by the vendor at an open market. The receipts shall be kept at the open market in which the unused merchandise is offered for sale and at the vendor’s residence or principal place of business for two (2) years after the merchandise is sold. Each receipt shall specify:
(a)  The date of the purchase;
(b)  The name and address of the person from whom the unused merchandise was acquired;
(c)  A description of the unused merchandise purchased, including any specific lot numbers or other identifying characteristics;
(d)  The amount paid for the unused merchandise; and
(e)  The signature of the buyer and the seller of the unused merchandise.
(2)  It is a violation of the unused merchandise ownership protection act for a person to knowingly:
(a)  Falsify, obliterate or destroy any receipt required to be kept pursuant to this section;
(b)  At the request of a police officer, fail or refuse to produce any receipt required to be kept pursuant to this section; and
(c)  Fail to maintain any receipt as required by this section.",2
A148,"ARTICLE 7: CONSTRUCTIONAL RULES
7.01 Issue. ""Issue"" means all persons who are descended from the person referred to for purposes of intestate succession as determined under the laws of Idaho as those which exist on the date of my death. However, for the purposes of the foregoing, an adopted person shall be considered as descended from the person referred to only if he had been adopted while under the age of 18.",The testator clearly indicated that he/she would not regard an adopted person who had been adopted after the age of 18 as an issue. The testator was of sound mind when executing the will containing this statement.,"56-502.  DEFINING AND LIMITING USE OF FUND. All moneys in the food stamp revolving fund shall be used exclusively for the purchase of food order stamps from the United States Department of Agriculture; such stamps to be sold to needy persons or families subject to the provisions of the food stamp plan entered into with the Surplus Marketing Administration, or any successor thereto. All moneys received from the sale of such stamps or from the redemption of such stamps by the United States Department of Agriculture shall be deposited with the state treasurer and the amount thereof credited to such revolving fund.",2
A226,"I, [Person-1], of Burley, County of Twin Falls, State
of Idaho, being of lawful age of 71 years and of sound and
disposing mind and memory and not acting under duress, menace or
undue influence of any person or persons whomsoever, do hereby
make, publish and declare this to be My Last Will and Testament,
hereby revoking all other and former wills and testamentary papers
of any kind heretofore made by me, and I dispose of my property in
the following manner, to wit:",The testator was of sound mind when executing this will.,"15-2-501.  WHO MAY MAKE A WILL. Any emancipated minor or any person eighteen (18) or more years of age who is of sound mind may make a will. A married woman may dispose of her property, whether separate or community, in the same manner as any other person subject to the restrictions imposed by this code.",1
A226,"I, [Person-1], of Burley, County of Twin Falls, State
of Idaho, being of lawful age of 71 years and of sound and
disposing mind and memory and not acting under duress, menace or
undue influence of any person or persons whomsoever, do hereby
make, publish and declare this to be My Last Will and Testament,
hereby revoking all other and former wills and testamentary papers
of any kind heretofore made by me, and I dispose of my property in
the following manner, to wit:",The testator was not of sound mind when executing this will.,"15-2-501.  WHO MAY MAKE A WILL. Any emancipated minor or any person eighteen (18) or more years of age who is of sound mind may make a will. A married woman may dispose of her property, whether separate or community, in the same manner as any other person subject to the restrictions imposed by this code.",0
A226,"I, [Person-1], of Burley, County of Twin Falls, State
of Idaho, being of lawful age of 71 years and of sound and
disposing mind and memory and not acting under duress, menace or
undue influence of any person or persons whomsoever, do hereby
make, publish and declare this to be My Last Will and Testament,
hereby revoking all other and former wills and testamentary papers
of any kind heretofore made by me, and I dispose of my property in
the following manner, to wit:",The testator was of sound mind when executing this will.,"28-24-103.  DEALER AGREEMENTS — UNLAWFUL ACTS AND PRACTICES. It shall be a violation of the provisions of this chapter for a supplier to:
(1)  Require or attempt to require any equipment dealer to order or accept delivery of any equipment or parts or any equipment with special features or accessories not included in the base list price of such equipment as publicly advertised by the supplier which the equipment dealer has not voluntarily ordered;
(2)  Require or attempt to require any equipment dealer to enter into any agreement, whether written or oral, supplementing or amending an existing dealer agreement with such supplier unless such amendment or supplementary agreement is imposed on other similarly situated dealers in the state;
(3)  Refuse to deliver in reasonable quantities and within a reasonable time after receipt of the equipment dealer’s order, to any equipment dealer having a dealer agreement for the retail sale of new equipment sold or distributed by such supplier, equipment covered by such dealer agreement specifically advertised or represented by such supplier to be available for immediate delivery. The failure to deliver any such equipment shall not be considered a violation of the provisions of this chapter when deliveries are based on prior retail sales ordering histories, the priority given to the sequence in which the orders are received or manufacturing schedules or if such failure is due to prudent and reasonable restriction on extension of credit by the supplier to the equipment dealer, an act of God, work stoppage or delay due to a strike or labor difficulty, a bona fide shortage of materials, freight embargo or other cause over which the supplier has no control;
(4)  Terminate, cancel or fail to renew the dealer agreement of any equipment dealer or substantially change the dealer’s competitive circumstances, attempt to terminate or cancel, or threaten not to renew the dealer agreement or attempt or threaten to substantially change the dealer’s competitive circumstances without good cause. For purposes of this chapter, the fact that a dealer agreement allows an event, act or omission does not control whether such event, act or omission resulted in a substantial change in the dealer’s competitive circumstances. Nothing in this subsection shall be interpreted to apply to a discontinuation of or change in the product line of a supplier;
(5)  Condition the renewal, continuation or extension of a dealer agreement on the equipment dealer’s substantial renovation of the equipment dealer’s place of business or on the construction, purchase, acquisition or rental of a new place of business by the equipment dealer, unless:
(a)  The supplier has advised the equipment dealer in writing of its demand for such renovation, construction, purchase, acquisition or rental within a reasonable time prior to the effective date of the proposed date of renewal or extension, but in no case less than one (1) year; and
(b)  The supplier demonstrates the need for such change in the place of business and the reasonableness of the demand with respect to marketing and servicing the supplier’s products and any significant economic conditions existing at the time in the equipment dealer’s trade area, and the equipment dealer does not make a good faith effort to complete such construction or renovation plans within one (1) year;
(6)  Discriminate in the prices charged for equipment of like grade and quality sold by the supplier to similarly situated dealers in this state where the effect of such discrimination may be to substantially lessen competition or tend to create a monopoly in a line of commerce. The provisions of this subsection do not prevent the use of differentials which make only due allowance for differences in the cost of manufacture, sale or delivery of equipment resulting from the differing methods or quantities in which such equipment is sold or delivered; provided that nothing shall prevent a supplier from offering a lower price in order to meet an equally low price of a competitor, or the services or facilities furnished by a competitor;
(7)  Unreasonably withhold consent for an equipment dealer to change the capital structure of the equipment dealership or the means by which it is financed, provided that the equipment dealer meets the reasonable capital requirements of the supplier;
(8)  Prevent, by contract or otherwise, any equipment dealer or any officer, member, partner or stockholder of an equipment dealership from selling, assigning, or transferring any interest or portion thereof held by any of them in the equipment dealership to any other person or party; provided, however, that no equipment dealer, officer, partner, member or stockholder shall have the right to sell, transfer, or assign the equipment dealership or the power of management or control thereof without the written consent of the supplier, except that such consent shall not be unreasonably withheld if the buyer, transferee, or assignee meets the reasonable financial, business experience and character standards of the supplier. Should a supplier determine that the designated transferee is not acceptable, the supplier shall provide the equipment dealer with written notice of the supplier’s objections and specific reasons for withholding its consent within thirty (30) calendar days of receipt of notice from the equipment dealer;
(9)  Require an equipment dealer to assent to a release, assignment, novation, waiver or estoppel which would relieve any person from liability imposed by this chapter;
(10) (a) Unreasonably withhold consent, in the event of the death of the equipment dealer or the principal owner of the equipment dealership, to the transfer of the equipment dealer’s or the principal owner’s interest in the equipment dealership to another individual, if the individual meets the reasonable financial, business experience and character standards of the supplier. A supplier shall have sixty (60) days to consider a request to make a transfer to an individual. If, within that period, the supplier determines that the individual does not meet the reasonable financial, business experience and character standards of the supplier, it shall provide the dealership, heirs to the dealership, or the estate of the dealer with written notice of its objection and the specific reasons for withholding its consent. If the individual reasonably satisfies the supplier’s objections within sixty (60) days after notice thereof, the supplier shall approve the transfer. Nothing in this paragraph shall entitle a qualified individual to continue to operate the dealership without the consent of the supplier;
(b)  Notwithstanding the provisions of paragraph (a) of this subsection, in the event that a supplier and equipment dealer have duly executed an agreement concerning succession rights prior to the equipment dealer’s death, and if such agreement has not been revoked, such agreement shall be observed;
(11) Cause the equipment dealer to refrain from participation in the management, investment, acquisition or sale of any other related product or product line of equipment, parts or accessories, from the same or separate locations;
(12) Fail to compensate a dealer for preparation and delivery of equipment that the supplier sells or leases for use within this state and that the dealer prepares for delivery and delivers.",2
A226,"I, [Person-1], of Burley, County of Twin Falls, State
of Idaho, being of lawful age of 71 years and of sound and
disposing mind and memory and not acting under duress, menace or
undue influence of any person or persons whomsoever, do hereby
make, publish and declare this to be My Last Will and Testament,
hereby revoking all other and former wills and testamentary papers
of any kind heretofore made by me, and I dispose of my property in
the following manner, to wit:",The testator was not of sound mind when executing this will.,"73-220.  EXEMPTIONS FROM CERTAIN ACTS. The appropriations made in this act are expressly exempted from the provisions of the Standard Appropriations Act of 1945, (chapter 36 of title 67) from the provisions of section 67-2007 and 67-2008, from the provisions of section 67-3509, and from the provisions of sections 67-3516—67-3523, Idaho Code.",2
A226,"I, [Person-1], of Burley, County of Twin Falls, State
of Idaho, being of lawful age of 71 years and of sound and
disposing mind and memory and not acting under duress, menace or
undue influence of any person or persons whomsoever, do hereby
make, publish and declare this to be My Last Will and Testament,
hereby revoking all other and former wills and testamentary papers
of any kind heretofore made by me, and I dispose of my property in
the following manner, to wit:",The testator was not of sound mind when executing this will.,"63-1306.  PROCEDURE AND PROOF OF PAYMENT. (1) No procedure or action relating to the appraisal or assessment of property or the collection of property taxes is illegal on account of informality.
(2)  Proof of payment of property taxes shall be the sole responsibility of the taxpayer.",2
A242,"First: I direct my Personal Representative hereinafter named to pay all my just debts and funeral expenses as soon after my demise as can be lawfully and conveniently done, out of the property with which I die possessed.",The person named as personal representative was eligible to serve the rold and agreed to serve as one.,"15-3-203.  PRIORITY AMONG PERSONS SEEKING APPOINTMENT AS PERSONAL REPRESENTATIVE. (a) Whether the proceedings are formal or informal, persons who are not disqualified have priority for appointment in the following order:
(1)  the person with priority as determined by a probated will including a person nominated by a power conferred in a will;
(2)  the surviving spouse of the decedent who is a devisee of the decedent;
(3)  other devisees of the decedent;
(4)  the surviving spouse of the decedent;
(5)  other heirs of the decedent;
(6)  forty-five (45) days after the death of the decedent, any creditor;
(7)  if a petition for appointment of a personal representative has been filed and sixty (60) days have elapsed during which no consent to act has been filed by any proper person, the public administrator shall act as personal representative unless and until a proper person consents to act.
(b)  An objection to an appointment can be made only in formal proceedings. In case of objection the priorities stated in subsection (a) of this section apply except that
(1)  if the estate appears to be more than adequate to meet exemptions and costs of administration but inadequate to discharge anticipated unsecured claims, the court, on petition of creditors, may appoint any qualified person;
(2)  in case of objection to appointment of a person other than one whose priority is determined by will by an heir or devisee appearing to have a substantial interest in the estate, the court may appoint a person who is acceptable to heirs and devisees whose interests in the estate appear to be worth in total more than half of the probable distributable value, or, in default of this accord any suitable person.
(c)  A person entitled to letters under (2) through (5) of subsection (a) of this section may nominate a qualified person to act as personal representative. Any person aged eighteen (18) and over may renounce his right to an appointment by appropriate writing filed with the court. When two (2) or more persons share a priority, those of them who do not renounce must concur in nominating another to act for them, or in applying for appointment.
(d)  Conservators of the estates of protected persons, or if there is no conservator, any guardian except a guardian ad litem of a minor or incapacitated person, may exercise the same right to nominate, to object to another’s appointment, or to participate in determining the preference of a majority in interest of the heirs and devisees that the protected person or ward would have if qualified for appointment.
(e)  Appointment of one who does not have priority, including priority resulting from renunciation or nomination determined pursuant to this section, may be made only in formal proceedings. Before appointing one without priority, the court must determine that those having priority, although given notice of the proceedings, have failed to request appointment or to nominate another for appointment, and that administration is necessary.
(f)  No person is qualified to serve as a personal representative who is:
(1)  under the age of eighteen (18);
(2)  a person whom the court finds unsuitable in formal proceedings.
(g)  A personal representative appointed by a court of the decedent’s domicile has priority over all other persons except where the decedent’s will nominates different persons to be personal representative in this state and in the state of domicile. The domiciliary personal representative may nominate another, who shall have the same priority as the domiciliary personal representative.
(h)  This section governs priority for appointment of a successor personal representative but does not apply to the selection of a special administrator.
(i)  A married woman shall have the right to serve as personal representative.",1
A242,"First: I direct my Personal Representative hereinafter named to pay all my just debts and funeral expenses as soon after my demise as can be lawfully and conveniently done, out of the property with which I die possessed.",The person named as personal representative declined to serve the role.,"15-3-203.  PRIORITY AMONG PERSONS SEEKING APPOINTMENT AS PERSONAL REPRESENTATIVE. (a) Whether the proceedings are formal or informal, persons who are not disqualified have priority for appointment in the following order:
(1)  the person with priority as determined by a probated will including a person nominated by a power conferred in a will;
(2)  the surviving spouse of the decedent who is a devisee of the decedent;
(3)  other devisees of the decedent;
(4)  the surviving spouse of the decedent;
(5)  other heirs of the decedent;
(6)  forty-five (45) days after the death of the decedent, any creditor;
(7)  if a petition for appointment of a personal representative has been filed and sixty (60) days have elapsed during which no consent to act has been filed by any proper person, the public administrator shall act as personal representative unless and until a proper person consents to act.
(b)  An objection to an appointment can be made only in formal proceedings. In case of objection the priorities stated in subsection (a) of this section apply except that
(1)  if the estate appears to be more than adequate to meet exemptions and costs of administration but inadequate to discharge anticipated unsecured claims, the court, on petition of creditors, may appoint any qualified person;
(2)  in case of objection to appointment of a person other than one whose priority is determined by will by an heir or devisee appearing to have a substantial interest in the estate, the court may appoint a person who is acceptable to heirs and devisees whose interests in the estate appear to be worth in total more than half of the probable distributable value, or, in default of this accord any suitable person.
(c)  A person entitled to letters under (2) through (5) of subsection (a) of this section may nominate a qualified person to act as personal representative. Any person aged eighteen (18) and over may renounce his right to an appointment by appropriate writing filed with the court. When two (2) or more persons share a priority, those of them who do not renounce must concur in nominating another to act for them, or in applying for appointment.
(d)  Conservators of the estates of protected persons, or if there is no conservator, any guardian except a guardian ad litem of a minor or incapacitated person, may exercise the same right to nominate, to object to another’s appointment, or to participate in determining the preference of a majority in interest of the heirs and devisees that the protected person or ward would have if qualified for appointment.
(e)  Appointment of one who does not have priority, including priority resulting from renunciation or nomination determined pursuant to this section, may be made only in formal proceedings. Before appointing one without priority, the court must determine that those having priority, although given notice of the proceedings, have failed to request appointment or to nominate another for appointment, and that administration is necessary.
(f)  No person is qualified to serve as a personal representative who is:
(1)  under the age of eighteen (18);
(2)  a person whom the court finds unsuitable in formal proceedings.
(g)  A personal representative appointed by a court of the decedent’s domicile has priority over all other persons except where the decedent’s will nominates different persons to be personal representative in this state and in the state of domicile. The domiciliary personal representative may nominate another, who shall have the same priority as the domiciliary personal representative.
(h)  This section governs priority for appointment of a successor personal representative but does not apply to the selection of a special administrator.
(i)  A married woman shall have the right to serve as personal representative.",0
A242,"First: I direct my Personal Representative hereinafter named to pay all my just debts and funeral expenses as soon after my demise as can be lawfully and conveniently done, out of the property with which I die possessed.",The person named as personal representative was eligible to serve the rold and agreed to serve as one.,"70-1403.  QUORUM. A majority of the persons holding the office of port commissioner at any time shall constitute a quorum of the port commission for the transaction of business, and the concurrence of a majority of the persons holding such office at the time shall be necessary and shall be sufficient for the transaction of any port business, but no business shall be transacted unless there are in office at least a majority of the full number of commissioners fixed by law.",2
A242,"First: I direct my Personal Representative hereinafter named to pay all my just debts and funeral expenses as soon after my demise as can be lawfully and conveniently done, out of the property with which I die possessed.",The person named as personal representative declined to serve the role.,"25-1601.  RECORD OF SLAUGHTERED CATTLE — PENALTY FOR VIOLATION. Any persons engaged in the business of slaughtering cattle, must keep at their place of business a book in which they must enter daily the number and class of cattle slaughtered, the name of the person or persons from whom said cattle were purchased, and the marks and brands of such cattle. Said book must be kept ready at all times for the inspection of any person who may desire to examine the same. Any person violating the provisions hereof shall be guilty of a misdemeanor.",2
